run_tag,script,dataset,n_molecules,steps,seed,final_train_loss,passed,git,task,split,label_budget,ssl_method,n_seeds,test_auroc_mean,test_auroc_std,test_ece_mean,n_train,test_rmse_mean,test_rmse_std,n_pool_dropped,final_mask_loss,random_auroc_mean,inflation_auroc_mean
0825_1609_overfit_check,overfit100,BBBP,100,400,0,0.00291964178904891,True,859fa9f,,,,,,,,,,,,,,,
0825_1617_tox21_ecfp_rf,run_ecfp_baseline,Tox21,,,,,,28407e2,classification,scaffold,1.0,none_ecfp4_rf,5,0.6976974986396896,0.001748355485680924,0.013898551447033548,6258,,,,,,
0825_1622_bbbp_ecfp_rf,run_ecfp_baseline,BBBP,,,,,,e20bff8,classification,scaffold,1.0,none_ecfp4_rf,5,0.7971414845063656,0.007182280272748538,0.0727550116713352,1631,,,,,,
0825_1622_bace_ecfp_rf,run_ecfp_baseline,BACE,,,,,,04087af,classification,scaffold,1.0,none_ecfp4_rf,5,0.9174467150076906,0.004184725180778869,0.0843032926065163,1210,,,,,,
0825_1623_lipo_ecfp_rf,run_ecfp_baseline,Lipo,,,,,,16cd3c9,regression,scaffold,1.0,none_ecfp4_rf,5,,,,3360,1.0277965283577948,0.0020155115515273067,,,,
0825_1614_tox21_gine_sup,run_baseline,Tox21,,,,,,68e146c,classification,scaffold,1.0,none,5,0.7383016033218206,0.009824995174274542,0.016736262095155878,6258,,,,,,
0825_1643_pool_zinc250k,build_pool,pool,,,,,,060cb56,,,,none,,,,,239120,,,10335,,,
0825_1650_bbbp_gine_sup,run_baseline,BBBP,,,,,,ee5e412,classification,scaffold,1.0,none,5,0.6890703819361037,0.07299414970154362,0.08722239744429494,1631,,,,,,
0825_1659_bace_gine_sup,run_baseline,BACE,,,,,,ee5e412,classification,scaffold,1.0,none,5,0.8199077125906393,0.02599373902736347,0.15600378607448778,1210,,,,,,
0825_1646_pretrain_zinc250k,run_pretrain,pool,,,,,,ee5e412,,,,pretrain_attrmask,1,,,,239120,,,,0.03383896525509284,,
0825_1709_lipo_gine_sup,run_baseline,Lipo,,,,,,ee5e412,regression,scaffold,1.0,none,5,,,,3360,0.8254167199134826,0.0332299406270323,,,,
0825_1641_tox21_splitgap,run_split_comparison,Tox21,,,,,,ee5e412,classification,scaffold_vs_random,1.0,none,5,0.7383100474357213,0.007048613920780293,,,,,,,0.8225813548642774,0.08427130742855622
